date,opening_price,closing_price,max,min,count,amount
2017-07-20,34.90,34.57,34.92,34.54,10861372,1637277968
2017-08-02,36.86,36.27,36.93,36.03,44794779,7070546688
2017-08-15,37.31,37.55,37.69,37.18,29465487,4753689344
2017-08-28,37.18,37.51,37.65,37.13,25965972,4186555200
2017-09-11,37.27,37.52,37.66,37.12,31580798,5093855488
2017-09-22,35.15,35.12,35.21,34.79,46645443,7070638592
2017-10-05,35.69,35.99,36.01,35.66,21283769,3301111296
2017-10-19,36.33,36.14,36.42,35.90,42584166,6633787392
2017-11-01,39.61,38.87,39.63,38.55,33637762,5624358656
2017-11-14,40.56,40.14,40.67,40.10,24782487,4269151296
2017-11-28,40.88,40.57,41.02,40.27,26428802,4578374912
2017-12-11,39.60,40.47,40.53,39.50,35273759,6052098048
2017-12-22,40.97,41.06,41.16,40.93,16349444,2862745296
2018-01-08,40.89,40.89,41.21,40.79,20567766,3591436560
2018-01-22,41.63,41.55,41.75,41.45,27108551,4799924992
2018-02-05,37.08,36.43,38.27,36.30,72738522,11668278016
2018-02-16,40.55,40.57,41.17,40.40,40176091,6973474304
2018-03-02,40.66,41.51,41.54,40.57,38453950,6713987072
2018-03-15,42.09,42.12,42.52,41.98,22743798,4074165216
2018-03-28,39.27,39.08,39.97,38.76,41668545,6974061824
2018-04-11,40.52,40.57,40.94,40.39,22431640,3874984288
2018-04-24,38.88,38.20,39.04,37.77,33692017,5513042688
2018-05-08,43.71,43.97,44.02,43.38,28402777,5259437568
2018-05-21,44.64,44.55,44.96,44.37,18400787,3460210400
2018-06-04,45.55,45.60,46.00,45.48,26266174,5049010432
2018-06-15,45.15,44.85,45.18,44.71,61719160,11675503616
2018-06-28,43.67,44.02,44.20,43.59,17365235,3215321040
2018-07-12,45.03,45.40,45.50,44.97,18041131,3439963808
2018-07-25,45.91,46.35,46.36,45.75,16826483,3260978864
2018-08-08,49.16,49.46,49.60,48.77,22525487,4659113984
2018-08-21,52.03,51.59,52.12,51.33,26159755,5641170688
2018-09-04,54.93,54.92,55.12,54.48,27390132,6247673344
2018-09-17,53.36,52.30,53.56,52.14,37195133,8169089792
2018-09-28,54.02,54.26,54.29,53.83,22929364,5163632128
2018-10-11,51.46,51.44,52.70,50.91,53124392,11469021184
2018-10-24,53.48,51.60,53.88,51.46,40925163,8981000704
2018-11-06,48.31,48.77,49.01,48.25,31882881,6480750080
2018-11-20,42.60,42.25,43.38,41.89,67825247,12103888640
2018-12-04,43.25,42.18,43.61,42.08,41344282,7389780224
2018-12-18,39.35,39.53,39.89,39.11,33841518,5614496000
2019-01-02,36.73,37.49,37.72,36.57,37039737,5814746624
2019-01-15,35.58,36.28,36.36,35.52,28710324,4373554688
2019-01-29,37.07,36.68,37.54,36.54,41587239,6479140864
2019-02-11,40.95,40.55,40.99,40.50,20993425,3568056768
2019-02-26,41.62,41.77,42.02,41.48,17070211,2976767520
2019-03-11,42.06,42.92,42.97,42.03,32011034,5702308352
2019-03-22,47.03,45.95,47.61,45.89,42407666,8223870976
2019-04-04,46.89,47.11,47.28,46.48,19114275,3740212448
2019-04-17,48.08,48.97,49.04,47.84,28906780,5834164736
2019-05-01,50.66,50.82,52.02,50.50,64827328,13792599552
2019-05-14,44.99,45.55,45.81,44.74,36529677,6866874624
2019-05-29,42.49,42.73,43.22,42.38,28481165,5057531136
2019-06-11,47.10,47.09,47.38,46.78,26932882,5242958336
2019-06-24,48.02,48.03,48.42,47.93,18220421,3629004064
2019-07-08,48.59,48.39,48.73,47.99,25338628,5061547264
2019-07-19,49.83,49.03,50.01,48.97,20929307,4276228032
2019-08-01,51.86,50.49,52.89,50.07,54017922,11459676416
2019-08-14,49.37,49.26,50.19,49.22,36547443,7453804800
2019-08-28,49.60,49.96,50.01,49.41,15957632,3269975824
2019-09-11,53.09,54.47,54.50,53.01,44289646,9808561664
2019-09-24,53.83,53.00,54.20,52.87,31434367,6893594880
2019-10-07,55.14,55.34,56.06,55.04,30889269,7047223040
2019-10-18,57.22,57.68,57.97,57.15,24377166,5749350656
2019-10-31,60.39,60.77,60.87,57.89,34790520,8621281792
2019-11-13,64.05,64.89,64.96,64.04,25817593,6805376512
2019-11-26,65.50,64.84,65.56,64.39,26334882,6990388224
2019-12-11,65.97,66.46,66.54,65.89,19723391,5330260480
2019-12-24,69.94,69.84,69.99,69.50,12119714,3442838000
2020-01-08,73.06,74.57,74.88,73.06,33090946,9967739136
2020-01-22,78.41,78.19,78.77,78.10,25458115,8108446464
2020-02-04,77.60,78.48,78.68,77.18,34154134,10841308672
2020-02-18,77.80,78.71,78.90,77.61,38190545,12122324224
2020-03-02,69.53,73.66,74.32,68.39,85349339,24647271680
2020-03-16,59.45,59.51,63.73,58.96,80605865,20199019520
2020-03-27,62.15,60.90,62.93,60.72,51054153,12807899648
2020-04-09,66.14,65.96,66.48,65.14,40529123,10830251520
2020-04-23,67.93,67.72,69.40,67.68,31203582,8673444608
2020-05-06,74.08,74.12,74.77,73.68,35583438,10739129344
2020-05-19,77.92,77.45,78.80,77.42,25432385,8048323072
2020-06-02,79.35,80.00,80.03,78.90,21910704,7043504128
2020-06-16,87.03,87.19,87.47,85.35,41357182,14511866112
2020-06-29,87.48,89.61,89.71,86.99,32661519,11712605952
2020-07-13,96.43,94.64,99.12,94.42,47912285,18785550592
2020-07-24,90.15,91.78,92.14,88.31,46359716,16983907584
2020-08-06,109.57,113.07,113.58,108.96,50607225,22772250880
2020-08-19,115.35,115.08,116.53,114.98,36384502,16945307136
2020-09-01,132.13,133.55,134.17,129.90,152470142,20259888128
2020-09-15,117.70,114.91,118.20,112.98,184642039,21496059392
2020-09-29,113.92,113.46,114.68,112.94,100060526,11428188160
2020-10-12,119.43,123.77,124.55,118.65,240226769,29559265536
2020-10-23,115.76,114.41,115.92,113.65,82572645,9493451264
2020-11-05,117.32,118.40,118.99,116.24,126387074,14974443264
2020-11-18,118.19,117.61,119.40,117.58,76322111,9079834880
2020-12-02,121.60,122.66,122.95,120.47,89004195,10905649920
2020-12-15,123.92,127.46,127.48,123.71,157572262,19940467456
2020-12-30,135.16,133.30,135.57,132.98,96452124,12956084992
2021-01-13,128.34,130.47,131.03,128.07,88636831,11573498368
2021-01-27,143.01,141.64,143.88,139.99,140843759,20083058944
2021-02-09,136.40,135.79,137.66,135.63,76774213,10500951040
2021-02-23,123.54,125.64,126.49,118.17,158273022,19510273280
2021-03-08,120.71,116.14,120.78,115.99,154376610,18208710912
2021-03-19,119.68,119.77,121.21,119.46,185549522,22307325184
2021-04-05,123.65,125.68,125.94,122.85,88651175,11111616512
2021-04-16,134.08,133.94,134.45,133.06,84922386,11381544704
2021-04-29,136.25,133.26,136.85,132.23,151100953,20264992512
2021-05-12,123.40,122.77,124.64,122.25,112172282,13802695680
2021-05-25,127.82,126.90,128.32,126.32,72009482,9142943232
2021-06-08,126.60,126.74,128.46,126.21,74403774,9455758080
2021-06-21,130.30,132.30,132.41,129.21,79663316,10473007616
2021-07-01,136.51,136.15,137.19,135.76,23973113,3271697040
